,Employment,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed,Age_>35,Accessibility_Yes,EdLevel_NoHigherEd,EdLevel_Other,EdLevel_PhD,EdLevel_Undergraduate,Gender_NonBinary,Gender_Woman,MentalHealth_Yes,MainBranch_NotDev,Employment_bin,YearsCode_bin,YearsCodePro_bin,PreviousSalary_bin,ComputerSkills_bin
employ72,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
employ73,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False
employ74,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ75,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
employ76,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
employ77,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,True
employ78,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True
employ79,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ80,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
employ81,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False
employ82,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False
employ83,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ84,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True
employ85,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ86,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True
employ87,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True
employ88,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ89,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
employ90,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
employ91,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ92,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
employ93,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True
employ94,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
employ95,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ96,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False
employ97,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
employ98,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True
employ99,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True
employ100,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True
employ101,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ102,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True
employ103,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
employ104,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True
employ105,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ106,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
employ107,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
employ108,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
employ109,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
employ110,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
employ111,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True
employ112,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
employ113,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
employ114,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ115,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False
employ116,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
employ117,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
employ118,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False
employ119,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
employ120,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False
employ121,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ122,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ123,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ124,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True
employ125,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
employ126,True,True,True,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True
employ127,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
employ128,True,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True
employ129,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
employ130,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ131,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
employ132,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False
employ133,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ134,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
employ135,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True
employ136,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False
employ137,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
employ138,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True
employ139,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
employ140,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
employ141,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
employ142,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True
employ143,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
employ144,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ145,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,True,True,True,False
employ146,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
employ147,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,True,True,True,True,False,False
employ148,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True
employ149,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ150,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ151,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
employ152,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
employ153,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True
employ154,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
employ155,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False
employ156,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ157,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True
employ158,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False
employ159,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
employ160,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
employ161,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
employ162,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
employ163,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
employ164,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ165,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
employ166,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True
employ167,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ168,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
employ169,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,False
employ170,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
employ171,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ172,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ173,True,True,True,True,True,False,False,True,False,True,False,False,False,True,True,False,True,True,False,False,False
employ174,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True
employ175,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False
employ176,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False
employ177,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
employ178,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True
employ179,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False
employ180,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False
employ181,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
employ182,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ183,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ184,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True
employ185,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ186,True,True,True,True,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False
employ187,True,True,True,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
employ188,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True
employ189,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,True
employ190,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
employ191,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False
employ192,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False
employ193,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ194,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
employ195,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,True
employ196,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
employ197,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True
employ198,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False
employ199,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True
employ200,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ201,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False
employ202,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
employ203,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
employ204,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False
employ205,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
employ206,True,True,True,True,True,False,True,False,False,True,False,False,False,False,True,False,True,True,True,True,False
employ207,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ208,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False
employ209,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
employ210,True,True,True,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False
employ211,False,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True
employ212,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False
employ213,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ214,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ215,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ216,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ217,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False
employ218,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
employ219,True,True,True,True,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
employ220,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ221,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
employ222,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
employ223,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ224,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True
employ225,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
employ226,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
employ227,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ228,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ229,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
employ230,True,True,True,True,True,False,True,False,False,False,False,True,False,False,True,True,True,True,False,True,False
employ231,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
employ232,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True
employ233,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
employ234,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
employ235,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
employ236,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ237,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True
employ238,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
employ239,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True
employ240,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ241,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
employ242,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
employ243,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False
employ244,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,False
employ245,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False
employ246,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ247,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
employ248,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
employ249,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
employ250,False,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True
employ251,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True
employ252,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True
employ253,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False
employ254,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True
employ255,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
employ256,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ257,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True
employ258,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ259,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True
employ260,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
employ261,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False
employ262,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False
employ263,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ264,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ265,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
employ266,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
employ267,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ268,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
employ269,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,False
employ270,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False
employ271,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ272,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ273,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
employ274,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ275,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True
employ276,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
employ277,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
employ278,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True
employ279,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True
employ280,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True
employ281,False,True,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,False
employ282,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
employ283,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ284,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True
employ285,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ286,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,True,True
employ287,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
employ288,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
employ289,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True
employ290,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
employ291,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
employ292,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False
employ293,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ294,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
employ295,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ296,True,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
